Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          82,      -1.8000000000000114,       0.2733333333333332,      47.9999999999999929,     0.24000E+01,     0.50000E+02,     0.10000E+00,    -0.90000E-01,     0.24000E+01,     0.50000E+02,           2,
           1,          83,       3.0000000000000071,       0.2766666666666665,      51.0000000000000000,     0.25500E+01,     0.50000E+02,     0.15609E+05,     0.15000E+00,     0.25500E+01,     0.50000E+02,           3,
           1,          84,      -1.8000000000000043,       0.2799999999999999,      49.1999999999999957,     0.24600E+01,     0.50000E+02,     0.10000E+00,    -0.90000E-01,     0.24600E+01,     0.50000E+02,           2,
           1,          85,       3.0000000000000071,       0.2833333333333332,      52.2000000000000028,     0.26100E+01,     0.50937E+02,     0.15609E+05,     0.15000E+00,     0.26100E+01,     0.50937E+02,           3,
           1,          86,      -1.8000000000000043,       0.2866666666666666,      50.3999999999999986,     0.25200E+01,     0.49532E+02,     0.15609E+05,    -0.90000E-01,     0.25200E+01,     0.49532E+02,           3,
           1,          87,       3.0000000000000000,       0.2899999999999999,      53.3999999999999986,     0.26700E+01,     0.51873E+02,     0.15609E+05,     0.15000E+00,     0.26700E+01,     0.51873E+02,           3,
           1,          88,      -1.8000000000000043,       0.2933333333333333,      51.5999999999999943,     0.25800E+01,     0.50468E+02,     0.15609E+05,    -0.90000E-01,     0.25800E+01,     0.50468E+02,           3,
           1,          89,       3.0000000000000071,       0.2966666666666666,      54.6000000000000014,     0.27300E+01,     0.52810E+02,     0.15609E+05,     0.15000E+00,     0.27300E+01,     0.52810E+02,           3,
           1,          90,      -1.8000000000000043,       0.3000000000000000,      52.7999999999999972,     0.26400E+01,     0.51405E+02,     0.15609E+05,    -0.90000E-01,     0.26400E+01,     0.51405E+02,           3,
           1,          91,       3.0000000000000071,       0.3033333333333333,      55.8000000000000043,     0.27900E+01,     0.53746E+02,     0.15609E+05,     0.15000E+00,     0.27900E+01,     0.53746E+02,           3,
           1,          92,      -1.8000000000000114,       0.3066666666666667,      53.9999999999999929,     0.27000E+01,     0.52341E+02,     0.15609E+05,    -0.90000E-01,     0.27000E+01,     0.52341E+02,           3,
           1,          93,       3.0000000000000071,       0.3100000000000001,      57.0000000000000000,     0.28500E+01,     0.54683E+02,     0.15609E+05,     0.15000E+00,     0.28500E+01,     0.54683E+02,           3,
